{'Time': 0.1184642886343116, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 8, 'Create_time': 0.1184642886343116}
{'Time': 0.018554647617422274, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.1008726329685333, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 1, 'Create_time': 0.018554647617422274}
{'Time': 0.11989156922026717, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 8, 'Create_time': 0.11989156922026717}
{'Time': 0.01998192820337783, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10094535238257774, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 1, 'Create_time': 0.01998192820337783}
{'Time': 0.12131884980622273, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 8, 'Create_time': 0.12131884980622273}
{'Time': 0.02140920878933339, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10101807179662217, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 1, 'Create_time': 0.02140920878933339}
{'Time': 0.1227461303921783, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 8, 'Create_time': 0.1227461303921783}
{'Time': 0.022836489375288947, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10109079121066662, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 1, 'Create_time': 0.022836489375288947}
{'Time': 0.12417341097813386, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 8, 'Create_time': 0.12417341097813386}
{'Time': 0.024263769961244505, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10116351062471106, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 1, 'Create_time': 0.024263769961244505}
{'Time': 0.12560069156408943, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 8, 'Block_id': 8, 'Create_time': 0.12560069156408943}
{'Time': 0.025691050547200063, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10123623003875551, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 8, 'Block_id': 1, 'Create_time': 0.025691050547200063}
{'Time': 0.127027972150045, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 9, 'Block_id': 8, 'Create_time': 0.127027972150045}
{'Time': 0.02711833113315562, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10130894945279995, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 9, 'Block_id': 1, 'Create_time': 0.02711833113315562}
